Book,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
pg87,9115,8368,7711,5480,3492,3376,2884,2792,2703,2701
pg50,191,129,93,87,87,78,74,70,66,65
pg45,4082,3424,3126,2278,2180,2038,1766,1758,1534,1456
pg51,3009,2373,2041,1784,1670,1630,1496,1170,1165,1016
pg79,12083,5372,4898,4804,4760,3173,2961,2908,2870,2826
pg92,6218,2699,2355,1555,1515,1494,1417,1010,843,826
pg90,7692,3130,2908,2570,2461,1978,1921,1465,1393,1376
pg47,3674,2926,2534,2038,1788,1776,1460,1325,1235,1100
pg53,4114,2590,1852,1850,1494,1388,1054,805,769,505
pg46,1760,1128,783,767,761,580,560,496,429,420
pg85,5950,2453,1879,1840,1300,1292,1148,1071,971,915
pg81,6627,2967,2485,2349,2025,1950,1502,1291,1273,1189
pg42,1783,1054,1046,730,693,646,482,470,396,383
pg56,440,284,239,198,132,121,104,99,98,91
pg57,566,296,245,228,154,138,125,114,104,93
pg80,4398,2661,2291,2029,1837,1433,1423,1227,1090,886
pg96,4875,1996,1716,1565,1118,1113,1003,893,872,787
pg69,181,120,93,87,81,78,70,69,60,58
pg68,4530,2491,1720,1587,1500,1171,1077,757,745,699
pg54,3484,1475,1302,1114,1023,665,595,527,492,480
pg97,2258,1601,1089,1089,921,722,699,493,425,418
pg33,5375,3344,2776,2095,2032,1472,1063,1040,1031,949
pg118,2987,2246,1844,1793,1452,1369,1058,729,626,606
pg26,3481,3171,2328,2187,1433,1207,1181,794,720,720
pg30,64128,51765,34750,13649,12927,12728,10423,9840,8998,8997
pg31,1629,1088,939,920,828,607,483,480,471,468
pg25,18157,7395,7194,6189,5087,2763,2494,2397,2271,2241
pg21,3513,1683,1383,1341,1335,742,718,603,476,471
pg34,1760,926,867,764,600,425,403,360,285,253
pg36,4977,2546,2432,1662,1252,1237,1058,852,779,650
pg109,491,404,297,229,216,177,152,151,139,114
pg121,3337,2473,2307,2267,1579,1547,1323,1109,1090,1080
pg37,999,998,826,766,765,715,664,566,561,487
pg104,305,232,130,126,102,97,93,87,79,71
pg105,3504,2888,2870,2689,1653,1446,1339,1204,1187,1146
pg13,558,232,227,212,196,153,135,124,117,99
pg39,747,351,340,296,236,212,166,109,109,107
pg106,6241,2832,2647,1948,1730,1624,1481,1152,1068,938
pg112,1308,610,605,554,541,455,439,371,346,314
pg10,64304,51762,34843,13680,12927,12727,10422,9840,8997,8997
pg38,8529,5459,4846,4646,3366,3033,2604,2104,1878,1645
pg14,6932,6355,5590,4889,2552,2419,2384,2293,2135,2103
pg28,1479,694,533,493,464,285,284,237,196,188
pg117,203,132,98,88,85,81,74,72,67,62
pg29,980,979,804,751,750,701,651,553,550,478
pg101,6015,3444,3102,2587,2351,1906,1133,996,894,859
pg115,55933,29041,21998,12643,3691,2600,1941,1628,1552,1548
pg100,30188,28421,22445,21010,18823,16266,14528,13175,12331,11956
pg59,1572,1091,1021,762,666,624,610,351,334,317
pg65,186,120,94,88,82,78,71,68,60,57
pg64,6423,3378,2352,2194,2072,1744,1278,1208,910,873
pg58,762,762,560,555,301,244,224,200,195,184
pg99,712,416,366,326,235,229,174,126,116,112
pg66,2452,1304,905,896,893,796,572,375,323,304
pg73,3182,1582,1539,1522,1306,1104,994,891,771,511
pg67,6196,3057,2429,2375,2085,1619,1220,1006,787,773
pg88,20882,10374,5321,4315,3739,2877,2118,1798,1516,1087
pg63,192,121,93,87,86,78,70,69,58,58
pg62,4812,2703,2392,1930,1786,1362,1029,968,847,799
pg89,7672,6149,3660,3286,3256,3052,2667,1970,1500,1371
pg48,8086,7991,6764,5356,3110,2755,2679,2623,2514,2391
pg49,647,362,348,305,236,180,164,159,147,138
pg61,1329,901,418,349,345,220,158,146,140,140
pg75,1310,722,636,588,560,510,399,335,303,303
